State,Percent Change Since 2002,Total Revenue - Per Pupil 2020,Percent Change Since 2003,Total Revenue - Per Pupil 2019
Alabama,0.150813973142931,11729.18,0.14685474687456734,11561.73881829739
Alaska,0.32261151542884026,19782.95,0.3125752828685493,19837.711007762537
Arizona,0.04220723411429983,10790.4,0.01443933230568506,10478.006435457804
Arkansas,0.17326591359714194,11828.05,0.17681160261613726,11924.662489669574
California,0.35784521331782515,16934.19,0.29536522970718826,17138.091606108672
Colorado,0.2803713104422889,14495.98,0.1863539677521162,13966.517022002809
Connecticut,0.4497366953224615,24874.65,0.43725362237093646,25052.51152585968
Delaware,0.34476179425303455,20032.22,0.22758223281572998,18822.985524649514
Florida,0.07648440837885873,11526.14,0.045454316238418446,11381.58743308454
Georgia,0.06264915686343131,13604.82,0.02858092499870213,13136.22982410037
Hawaii,0.26857605985858357,18756.38,0.09592812603745715,17510.574454963957
Idaho,0.029839347029225527,9802.01,-0.014425561154939759,9440.840757806878
Illinois,0.5472286094980994,20196.8,0.47531624007169815,19298.658729374434
Indiana,0.019207671601904508,13368.37,0.17781499938187562,13318.067525426071
Iowa,0.19085167584353968,14310.07,0.16018084081922845,14339.883663037719
Kansas,0.2450139734255432,14588.47,0.14789590500354444,14033.756337370116
Kentucky,0.24728545135945001,12715.18,0.25293349468959025,13047.718545237194
Louisiana,0.3209317605386559,13752.79,0.3035303308616333,13945.488863246152
Maine,0.3005056958028487,17583.78,0.22196188795692895,17232.17991838122
Maryland,0.314488136779286,18580.92,0.28481225649846564,18209.481374025876
Massachusetts,0.261267878599899,21132.03,0.23349350834893845,20698.555066312336
Michigan,0.09980183426014433,15967.41,0.10648617943057581,15562.869186088074
Minnesota,0.24889352902548745,16761.89,0.18970198816268624,16584.634531045715
Mississippi,0.21348561261297072,10773.54,0.1265717375803348,10544.504178076691
Missouri,0.059820251531125246,12402.1,0.16608420989017958,13472.27402297491
Montana,0.24599387399132455,13769.47,0.23996637062554704,14000.71063667668
Nebraska,0.1731841275666106,14717.12,0.14799913934653697,14491.702905848479
Nevada,0.12252517336778279,11755.14,0.07547241613032019,11408.192625250576
New Hampshire,0.5557665749844081,20130.73,0.4451061667910936,19589.18255173274
New Jersey,0.26578096735215406,24010.01,0.20275002592705094,23995.66877404854
New Mexico,0.25850957502240224,14394.16,0.08666217666218068,12580.669933161747
New York,0.701781672016518,30723.46,0.6314679136923218,30312.669883980245
North Carolina,-0.001459462817852808,10790.19,0.007008846679675829,10720.358504761005
North Dakota,0.5123931732910183,16624.06,0.4579010463120212,16688.90169118019
Ohio,0.14676760291559754,16064.04,0.1335472174344332,15785.412120330651
Oklahoma,0.08041012195080977,10956.11,0.07779910507449239,10797.075729365011
Oregon,0.2750789220380516,15844.13,0.3252909021907986,15512.6860439345
Pennsylvania,0.4910903828560389,21523.73,0.4273508614051742,21542.292158994394
Rhode Island,0.30559572918466693,19574.23,0.26025869075273755,19472.491508429484
South Carolina,0.1898651492988368,14323.73,0.21475285311314152,14145.642395604826
South Dakota,0.178274139943986,12410.44,0.16331456656493182,12396.15037970476
Tennessee,0.1838358950142247,10971.38,0.17141286223738272,10916.824490439165
Texas,0.16320875101320165,13345.9,0.1115695445944791,13085.274633605972
United States,0.24981503063033172,16062.11,0.21694549769074456,15894.05760724006
Utah,0.1649954339506814,10026.57,0.17851455091475787,9909.138869170763
Vermont,0.4850396952618292,23575.04,0.37952204959597236,22779.448832511192
Virginia,0.15405856575268828,13998.09,0.11761972792131692,13873.972806411906
Washington,0.5017592901060581,17685.06,0.4724878662173544,17517.95970685579
West Virginia,0.14672174396079196,14162.86,0.07120677209457171,13422.852770631358
Wisconsin,0.0655714356304955,15014.71,0.03958736871659596,14812.976600939355
Wyoming,0.3007153128561366,19384.14,0.23224571462698362,19455.811200855358
